"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation","22/7300","56/18888",0.392857142857143,1.01647749510763,0.098011189293945,0.511540158531623,0.681654243733625,0.470971386304476,"7046/6664/4435/7101/23028/5134/10979/6662/7474/7424/2260/860/5788/898/7040/3791/10443/1499/6926/7480/5396/2247",22
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","49/7300","126/18888",0.388888888888889,1.0062100456621,0.0555110161373838,0.511716955469951,0.681654243733625,0.470971386304476,"3767/123041/6833/201266/10723/483/64116/10479/6529/8884/9990/3766/84679/6339/59341/5530/6543/51393/6548/477/6560/57468/9495/728215/261729/3773/776/5532/3765/3764/478/3760/5534/6550/3761/5621/8911/6547/3784/781/57181/6546/773/774/7442/54795/1261/3762/25769",49
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","49/7300","126/18888",0.388888888888889,1.0062100456621,0.0555110161373838,0.511716955469951,0.681654243733625,0.470971386304476,"3767/123041/6833/201266/10723/483/64116/10479/6529/8884/9990/3766/84679/6339/59341/5530/6543/51393/6548/477/6560/57468/9495/728215/261729/3773/776/5532/3765/3764/478/3760/5534/6550/3761/5621/8911/6547/3784/781/57181/6546/773/774/7442/54795/1261/3762/25769",49
"GO:0042445","GO:0042445","hormone metabolic process","93/7300","240/18888",0.3875,1.00261643835616,0.0323771542770829,0.511723744862707,0.681654243733625,0.470971386304476,"157506/5034/1803/25825/1636/2028/64924/1889/6696/133/259307/1363/1594/1514/9159/2834/115111/10269/5947/1508/1588/1522/3077/5125/8644/117247/1958/5978/4790/1513/10858/27344/81555/1565/582/51170/1382/8630/151056/706/8622/1056/220/5045/5959/3416/59342/9486/10404/54760/1577/2230/650/57665/5046/3028/1586/1497/4669/1645/9563/1646/1589/9718/4311/51301/1910/2672/6934/9227/102/5781/1545/1609/5950/3991/6715/29785/79644/10273/3480/51635/3295/56605/216/3293/5469/1717/10901/10202/54361/405/53630",93
"GO:0044458","GO:0044458","motile cilium assembly","27/7300","69/18888",0.391304347826087,1.01245979749851,0.0822954710162074,0.512818568693889,0.682969360571769,0.471880032302219,"583/2302/80127/28981/286207/55081/1874/51364/154313/55329/25981/7802/79864/221421/26074/55835/9148/54903/23300/54970/22873/145508/22994/54558/221481/7320/200162",27
"GO:0008645","GO:0008645","hexose transmembrane transport","47/7300","121/18888",0.388429752066116,1.00502207630477,0.0439862807799831,0.516996440887944,0.688310189361161,0.475570139951483,"1636/8682/51422/2171/5167/28999/8218/81031/151176/83667/9481/7248/4780/1909/57761/6443/125206/718/2887/6506/66035/252983/5579/1432/23433/55974/3099/55198/10776/6526/55022/56606/25999/6515/148808/1497/5295/6517/100506658/144195/6814/8660/55829/5781/2719/208/6253",47
"GO:0006699","GO:0006699","bile acid biosynthetic process","15/7300","38/18888",0.394736842105263,1.02134102379236,0.104517749054507,0.519696982586285,0.688310189361161,0.475570139951483,"80270/9572/9885/10858/1066/54206/3028/51302/6342/134429/6770/26031/114876/10998/114883",15
"GO:0046461","GO:0046461","neutral lipid catabolic process","15/7300","38/18888",0.394736842105263,1.02134102379236,0.104517749054507,0.519696982586285,0.688310189361161,0.475570139951483,"11313/6653/747/344/2822/5294/151056/4023/338328/7920/23259/57406/2166/3991/9388",15
"GO:0046464","GO:0046464","acylglycerol catabolic process","15/7300","38/18888",0.394736842105263,1.02134102379236,0.104517749054507,0.519696982586285,0.688310189361161,0.475570139951483,"11313/6653/747/344/2822/5294/151056/4023/338328/7920/23259/57406/2166/3991/9388",15
"GO:0048536","GO:0048536","spleen development","15/7300","38/18888",0.394736842105263,1.02134102379236,0.104517749054507,0.519696982586285,0.688310189361161,0.475570139951483,"602/8772/64332/10370/6868/4791/4297/785/64783/3175/80169/11035/5423/30061/3720",15
"GO:0006110","GO:0006110","regulation of glycolytic process","20/7300","51/18888",0.392156862745098,1.0146655922643,0.0832372076592712,0.519831944207915,0.688310189361161,0.475570139951483,"5465/51422/195827/6774/8671/9759/57103/3356/2203/3692/863/8850/5562/2645/54541/28964/5566/26137/5223/2033",20
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","20/7300","51/18888",0.392156862745098,1.0146655922643,0.0832372076592712,0.519831944207915,0.688310189361161,0.475570139951483,"2171/6319/3992/79966/8644/4282/215/5321/5742/552/9415/8560/972/50640/27306/5740/5743/9536/79993/60481",20
"GO:0006692","GO:0006692","prostanoid metabolic process","20/7300","51/18888",0.392156862745098,1.0146655922643,0.0832372076592712,0.519831944207915,0.688310189361161,0.475570139951483,"2171/7132/8644/4282/5321/22949/5742/552/145482/972/50640/1645/1646/284273/27306/5740/5743/9536/29785/51",20
"GO:0030811","GO:0030811","regulation of nucleotide catabolic process","20/7300","51/18888",0.392156862745098,1.0146655922643,0.0832372076592712,0.519831944207915,0.688310189361161,0.475570139951483,"5465/51422/195827/6774/8671/9759/57103/3356/2203/3692/863/8850/5562/2645/54541/28964/5566/26137/5223/2033",20
"GO:0032387","GO:0032387","negative regulation of intracellular transport","20/7300","51/18888",0.392156862745098,1.0146655922643,0.0832372076592712,0.519831944207915,0.688310189361161,0.475570139951483,"580/10956/6672/120892/284/9478/7295/11261/51465/51009/27236/4763/5350/91319/51684/9972/948/7341/55612/20",20
"GO:0033121","GO:0033121","regulation of purine nucleotide catabolic process","20/7300","51/18888",0.392156862745098,1.0146655922643,0.0832372076592712,0.519831944207915,0.688310189361161,0.475570139951483,"5465/51422/195827/6774/8671/9759/57103/3356/2203/3692/863/8850/5562/2645/54541/28964/5566/26137/5223/2033",20
"GO:0003071","GO:0003071","renal system process involved in regulation of systemic arterial blood pressure","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"3291/5125/2149/2702/2013/1910/5800/56670/2150/183",10
"GO:0003081","GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"1636/2028/1522/5125/2149/1910/56670/2150/6196/183",10
"GO:0008211","GO:0008211","glucocorticoid metabolic process","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"3291/5978/650/1586/9563/1589/1609/6770/10273/54361",10
"GO:0016973","GO:0016973","poly(A)+ mRNA export from nucleus","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"29107/2733/56943/29118/9688/84324/3087/643136/11269/57187",10
"GO:0018022","GO:0018022","peptidyl-lysine methylation","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"25895/387893/399818/196483/79813/84193/92342/124512/254013/56950",10
"GO:0043501","GO:0043501","skeletal muscle adaptation","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"3488/818/5530/8837/4772/2660/816/4625/488/7138",10
"GO:0043567","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"3485/3486/3488/3487/57462/3489/650/1001/55023/130617",10
"GO:0046716","GO:0046716","muscle cell cellular homeostasis","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"4015/857/1134/5213/6722/9215/5350/2660/6647/2395",10
"GO:0051875","GO:0051875","pigment granule localization","10/7300","25/18888",0.4,1.03495890410959,0.138822898819202,0.520214064749472,0.688310189361161,0.475570139951483,"5873/583/55686/63915/10540/4644/4647/26276/1639/1001",10
"GO:0001547","GO:0001547","antral ovarian follicle growth","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"5806/7130/49855/2309/7784",5
"GO:0002424","GO:0002424","T cell mediated immune response to tumor cell","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"259307/196/3105/3140/3123",5
"GO:0002674","GO:0002674","negative regulation of acute inflammatory response","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"2213/55870/55829/6693/53833",5
"GO:0003157","GO:0003157","endocardium development","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"90/6788/3084/54345/3791",5
"GO:0003163","GO:0003163","sinoatrial node development","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"6910/9096/11149/6926/10804",5
"GO:0006002","GO:0006002","fructose 6-phosphate metabolic process","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"5213/3101/2203/3099/4351",5
"GO:0006534","GO:0006534","cysteine metabolic process","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"2729/875/102724560/2730/23657",5
"GO:0006863","GO:0006863","purine nucleobase transport","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"3177/29015/2030/366/291",5
"GO:0009174","GO:0009174","pyrimidine ribonucleoside monophosphate biosynthetic process","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"7378/139596/151531/7372/51727",5
"GO:0010752","GO:0010752","regulation of cGMP-mediated signaling","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"7057/5138/4881/10900/136",5
"GO:0014854","GO:0014854","response to inactivity","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"9759/844/6442/114907/1605",5
"GO:0015015","GO:0015015","heparan sulfate proteoglycan biosynthetic process, enzymatic modification","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"9953/9653/9955/9957/266722",5
"GO:0030259","GO:0030259","lipid glycosylation","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"55343/2629/6483/26301/2583",5
"GO:0032380","GO:0032380","regulation of intracellular sterol transport","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"302/304/116150/6342/20",5
"GO:0032383","GO:0032383","regulation of intracellular cholesterol transport","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"302/304/116150/6342/20",5
"GO:0033539","GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"2639/3712/33/254013/2110",5
"GO:0033540","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"54677/6342/51/55289/8310",5
"GO:0035812","GO:0035812","renal sodium excretion","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"4302/4881/1910/80763/183",5
"GO:0035881","GO:0035881","amacrine cell differentiation","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"1746/1745/3280/60436/121643",5
"GO:0038003","GO:0038003","G protein-coupled opioid receptor signaling pathway","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"3690/84687/4987/6855/114",5
"GO:0042416","GO:0042416","dopamine biosynthetic process","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"7042/217/2643/1610/6622",5
"GO:0060049","GO:0060049","regulation of protein glycosylation","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"11261/3600/2801/340485/20",5
"GO:0060148","GO:0060148","positive regulation of post-transcriptional gene silencing","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"8737/7538/54487/7040/2332",5
"GO:0060379","GO:0060379","cardiac muscle cell myoblast differentiation","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"3688/5978/6722/6909/3084",5
"GO:0070673","GO:0070673","response to interleukin-18","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"837/353376/9076/3606/5295",5
"GO:0072110","GO:0072110","glomerular mesangial cell proliferation","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"3690/80310/5159/1958/8837",5
"GO:0072497","GO:0072497","mesenchymal stem cell differentiation","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"8321/5978/7473/6662/1499",5
"GO:0072710","GO:0072710","response to hydroxyurea","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"5888/8914/23514/1663/56160",5
"GO:0097384","GO:0097384","cellular lipid biosynthetic process","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"5321/2194/8443/387521/5191",5
"GO:0140627","GO:0140627","ubiquitin-dependent protein catabolic process via the C-end degron rule pathway","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"122773/56929/116138/8451/10116",5
"GO:1900370","GO:1900370","positive regulation of post-transcriptional gene silencing by RNA","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"8737/7538/54487/7040/2332",5
"GO:1901299","GO:1901299","negative regulation of hydrogen peroxide-mediated programmed cell death","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"3082/65018/4921/4233/10399",5
"GO:1903818","GO:1903818","positive regulation of voltage-gated potassium channel activity","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"30819/9472/219527/54209/388591",5
"GO:1904587","GO:1904587","response to glycoprotein","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"55741/111089941/9695/57134/11253",5
"GO:1905461","GO:1905461","positive regulation of vascular associated smooth muscle cell apoptotic process","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"6648/1871/468/27250/5468",5
"GO:2000009","GO:2000009","negative regulation of protein localization to cell surface","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"382/2824/30851/23245/54741",5
"GO:2000035","GO:2000035","regulation of stem cell division","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"6423/81606/4674/2124/10263",5
"GO:2000637","GO:2000637","positive regulation of miRNA-mediated gene silencing","5/7300","12/18888",0.416666666666667,1.07808219178082,0.21474660724573,0.523115743914482,0.688310189361161,0.475570139951483,"8737/7538/54487/7040/2332",5
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","102/7300","264/18888",0.386363636363636,0.999676214196762,-0.00420496089756355,0.525179024103816,0.690881873432615,0.477346978610384,"10135/4837/55276/5465/51422/83666/7114/204/23305/27109/9497/6391/2639/55739/65220/6389/8942/6576/4831/4719/5163/4541/47/4723/4881/108/1716/4860/84532/10165/84875/2982/4540/523/111/30968/7415/65018/10891/4846/23057/55022/5634/9551/4538/3614/23181/23417/5471/353/114/9200/4725/4539/8050/498/23205/349565/158/6470/4830/318/2023/4698/4508/109/60490/5166/5740/64802/51816/5164/79717/79877/8564/7040/4594/4713/4705/38/107/515/2979/23498/26289/4536/31/4535/9605/5162/5538/374291/6622/4509/54209/79993/83594/60481/4714/2618/4537/159",102
"GO:0030258","GO:0030258","lipid modification","75/7300","194/18888",0.38659793814433,1.00028244598221,0.00313851222054763,0.526093393581772,0.691941393795413,0.478079026827896,"7291/5465/51422/10903/9108/64410/54677/2639/129642/83667/3032/55750/3712/215/154141/79602/1608/64840/240/196051/1432/55343/10891/8867/5194/1571/55198/139189/23417/1577/6662/3632/5562/51094/10162/1607/2629/3028/10449/33/1666/8526/8776/6483/10478/1268/5166/6342/8897/55268/66036/8660/254013/38/9162/1609/10455/5191/26301/2583/51/55289/54893/3295/8310/8898/208/1892/27124/79948/3635/22876/8525/2110/130367",75
"GO:1901184","GO:1901184","regulation of ERBB signaling pathway","28/7300","72/18888",0.388888888888889,1.0062100456621,0.0419021267771302,0.527955656597694,0.694246928845591,0.479671976697625,"4318/3672/5329/5782/9052/5771/23636/84313/1956/92799/9961/6868/9125/64285/2537/58533/10253/5898/5641/9026/54206/5753/122809/10825/7040/9001/27246/183",28
"GO:0010951","GO:0010951","negative regulation of endopeptidase activity","48/7300","124/18888",0.387096774193548,1.00157313300928,0.0139492947615578,0.528546067756783,0.694448071644025,0.479810951116834,"4057/7076/4318/871/7422/5054/5271/710/114769/960/5329/3428/7057/12/1800/5265/2597/831/6478/83596/51499/358/5104/2537/5176/9806/1992/5269/6197/27074/80196/1378/286204/6195/10542/22900/8530/5270/5274/7078/7077/10049/2876/7079/1654/6695/6622/5276",48
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","48/7300","124/18888",0.387096774193548,1.00157313300928,0.0139492947615578,0.528546067756783,0.694448071644025,0.479810951116834,"8460/23305/54677/5167/6999/2639/6576/283927/5163/215/4597/10654/47/137964/3157/51268/57678/84532/390916/54988/23181/23417/9200/8050/23205/8803/60490/4598/5166/5164/79717/79877/4594/38/10380/3156/31/5162/5538/254552/23597/3295/6622/79993/641371/60481/128486/10965",48
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","48/7300","124/18888",0.387096774193548,1.00157313300928,0.0139492947615578,0.528546067756783,0.694448071644025,0.479810951116834,"8460/23305/54677/5167/6999/2639/6576/283927/5163/215/4597/10654/47/137964/3157/51268/57678/84532/390916/54988/23181/23417/9200/8050/23205/8803/60490/4598/5166/5164/79717/79877/4594/38/10380/3156/31/5162/5538/254552/23597/3295/6622/79993/641371/60481/128486/10965",48
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","48/7300","124/18888",0.387096774193548,1.00157313300928,0.0139492947615578,0.528546067756783,0.694448071644025,0.479810951116834,"8460/23305/54677/5167/6999/2639/6576/283927/5163/215/4597/10654/47/137964/3157/51268/57678/84532/390916/54988/23181/23417/9200/8050/23205/8803/60490/4598/5166/5164/79717/79877/4594/38/10380/3156/31/5162/5538/254552/23597/3295/6622/79993/641371/60481/128486/10965",48
"GO:0090288","GO:0090288","negative regulation of cellular response to growth factor stimulus","53/7300","137/18888",0.386861313868613,1.00096390360964,0.00898711606050857,0.5288819690931,0.694745656545549,0.480016559715184,"7130/11117/10252/22943/94031/7057/4804/8862/4092/6423/57045/81848/2817/8321/9241/28996/64855/6653/1745/23213/10253/1634/25960/199699/5770/5494/79812/10272/5654/5291/3087/151556/25805/7474/7321/55959/8837/22905/4681/7323/5468/375567/6497/51496/402117/6422/2247/100532736/54361/183/57556/64388/57154",53
"GO:0002920","GO:0002920","regulation of humoral immune response","18/7300","46/18888",0.391304347826087,1.01245979749851,0.0671529471132405,0.529020007132408,0.694783256523431,0.480042538448348,"710/3075/2302/2/2213/64127/1236/718/5245/1378/5788/79987/7784/5777/124976/5650/55061/54209",18
"GO:0046546","GO:0046546","development of primary male sexual characteristics","58/7300","150/18888",0.386666666666667,1.0004602739726,0.00449199336850384,0.529250431878558,0.694942151039877,0.480152322508779,"6382/7042/4323/259266/2316/83990/81930/1636/3148/8531/10549/49855/6240/7046/6423/581/10370/4678/4436/4521/8644/1495/3624/57647/10184/23607/8894/8648/599/9825/5872/3207/64478/7812/6662/9667/7474/8751/30812/56956/57599/3815/5926/3552/7098/598/5914/2674/1545/203102/6715/2067/4142/3295/54106/6422/54361/8743",58
"GO:0000038","GO:0000038","very long-chain fatty acid metabolic process","13/7300","33/18888",0.393939393939394,1.01927770859278,0.0879706477071022,0.530728704987314,0.696307288568066,0.481095529009814,"23305/215/51495/9200/23205/401494/51/3295/79993/641371/60481/10998/10965",13
"GO:0034368","GO:0034368","protein-lipid complex remodeling","13/7300","33/18888",0.393939393939394,1.01927770859278,0.0879706477071022,0.530728704987314,0.696307288568066,0.481095529009814,"5125/344/9619/5322/348/5045/3931/4023/5046/4547/9388/183/341",13
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","13/7300","33/18888",0.393939393939394,1.01927770859278,0.0879706477071022,0.530728704987314,0.696307288568066,0.481095529009814,"5125/344/9619/5322/348/5045/3931/4023/5046/4547/9388/183/341",13
"GO:0060795","GO:0060795","cell fate commitment involved in formation of primary germ layer","13/7300","33/18888",0.393939393939394,1.01927770859278,0.0879706477071022,0.530728704987314,0.696307288568066,0.481095529009814,"22943/6423/4838/2303/3207/8324/2138/2260/1499/9646/79577/6911/4086",13
"GO:0001935","GO:0001935","endothelial cell proliferation","78/7300","202/18888",0.386138613861386,0.99909399159094,-0.0102751558539684,0.530895126706664,0.696381750586101,0.481146976617135,"7422/1295/4323/858/3339/4017/3690/3162/79031/857/3148/283/3481/8829/7057/4804/8862/4893/56005/6774/1969/2152/7046/6772/3676/7026/54567/2324/84913/94/4192/6347/1893/1296/28984/947/6868/23213/25865/79805/5578/7060/240/79812/2624/348/659/5170/5291/5613/4763/253260/57804/55145/5365/8828/498/6776/7474/6678/7424/2260/7432/5335/3791/5468/26051/1950/6387/6667/9270/10000/2081/22846/2247/55334/57608/405",78
"GO:0055123","GO:0055123","digestive system development","56/7300","145/18888",0.386206896551724,0.999270666036845,-0.00699728500542821,0.534345321623538,0.6985265157985,0.482628846721616,"1281/7042/7298/3481/3142/3576/64220/6423/7855/4838/1956/6664/57103/7043/6522/5125/2300/2735/5919/3280/2131/79827/388389/2737/51339/9026/6293/6662/639/2294/5925/8642/7474/5979/93/2049/5753/3815/286451/688/3784/6729/445/1910/10413/887/5021/1499/2295/54106/6422/7481/2736/6663/57728/51057",56
"GO:0002029","GO:0002029","desensitization of G protein-coupled receptor signaling pathway","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"133/8862/408/157/54550/2915/29978/154",8
"GO:0006309","GO:0006309","apoptotic DNA fragmentation","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"581/51542/400410/27443/64802/3569/668/2021",8
"GO:0006515","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"55768/64839/8192/115209/10730/10273/10013/10444",8
"GO:0007351","GO:0007351","tripartite regional subdivision","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"7855/3234/10818/7474/5046/201164/6997/6926",8
"GO:0008595","GO:0008595","anterior/posterior axis specification, embryo","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"7855/3234/10818/7474/5046/201164/6997/6926",8
"GO:0031998","GO:0031998","regulation of fatty acid beta-oxidation","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"7291/5465/215/23417/1268/8660/254013/208",8
"GO:0032303","GO:0032303","regulation of icosanoid secretion","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"22925/4282/5321/5025/3552/9536/6850/8792",8
"GO:0034393","GO:0034393","positive regulation of smooth muscle cell apoptotic process","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"6648/1871/573/1029/468/27250/5468/10273",8
"GO:0035461","GO:0035461","vitamin transmembrane transport","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"60386/64220/55244/9962/8884/6573/10560/81034",8
"GO:0038092","GO:0038092","nodal signaling pathway","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"10370/4838/9241/56926/199699/130399/60436/6997",8
"GO:0039535","GO:0039535","regulation of RIG-I signaling pathway","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"329/55666/330/7353/8638/9958/85364/55601",8
"GO:0060216","GO:0060216","definitive hemopoiesis","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"3213/678/4211/613/4297/6670/2624/865",8
"GO:0071391","GO:0071391","cellular response to estrogen stimulus","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"10865/23558/4193/8805/5914/54828/6667/6422",8
"GO:0071514","GO:0071514","genomic imprinting","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"3481/9077/10155/5926/57683/84944/54496/1788",8
"GO:0072079","GO:0072079","nephron tubule formation","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"130497/9653/9241/6662/30812/79191/6495/1499",8
"GO:0072662","GO:0072662","protein localization to peroxisome","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"5824/54469/5194/55670/5190/51555/5191/9409",8
"GO:0072663","GO:0072663","establishment of protein localization to peroxisome","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"5824/54469/5194/55670/5190/51555/5191/9409",8
"GO:0097254","GO:0097254","renal tubular secretion","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"6781/9356/4302/4881/1201/1910/80763/183",8
"GO:0097623","GO:0097623","potassium ion export across plasma membrane","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"23704/10008/3745/196527/30819/3737/23630/3784",8
"GO:2000679","GO:2000679","positive regulation of transcription regulatory region DNA binding","8/7300","20/18888",0.4,1.03495890410959,0.124150522288798,0.534867414719556,0.6985265157985,0.482628846721616,"7291/5457/64855/2959/2296/5925/117854/10542",8
"GO:1903556","GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production","31/7300","80/18888",0.3875,1.00261643835616,0.0186132782437323,0.534950306508363,0.6985265157985,0.482628846721616,"4057/7291/602/54/29126/1139/2000/7128/64127/26191/10457/10270/10859/706/5987/7099/80149/140885/84868/23208/945/50856/4157/5777/5914/55829/11006/3965/64771/54209/64115",31
